cityName,country,lat,lng,temp,humidity,cloudiness,winds
upernavik,gl,72.79,-56.15,32.33,100,80,10.98
mataura,pf,-46.19,168.86,51.5,63,56,21.72
alexandria,eg,31.31,-92.44,85.96,67,75,4.7
bara,sd,10.41,10.6,78.32,78,56,5.95
kapaa,us,22.08,-159.32,75.31,79,75,9.17
mecca,sa,21.43,39.83,82.73,50,8,4.27
cape town,za,-33.93,18.42,64.4,63,0,18.34
hermanus,za,-34.42,19.24,58.25,57,0,8.41
krymsk,ru,44.93,37.99,66.2,93,75,11.18
mount isa,au,-20.73,139.49,66.2,42,76,4.7
hami,cn,42.84,93.51,48.89,41,24,4.61
lowicz,pl,52.11,19.95,47.34,87,75,11.41
qaanaaq,gl,77.48,-69.36,18.56,100,0,11.54
north auburn,us,47.34,-122.23,44.42,100,1,3.15
zhumadian,cn,33.01,114.02,51.59,69,0,2.71
torbay,ca,47.66,-52.73,48.2,57,75,9.17
bonthe,sl,7.53,-12.5,80.57,87,56,4.16
hoyanger,no,61.22,6.07,42.8,80,75,8.05
ribeira grande,pt,38.52,-28.7,75.2,73,20,4.7
san patricio,mx,-26.98,-56.83,69.95,88,68,5.39
kaitangata,nz,-46.28,169.85,44.75,62,36,10.98
bluff,nz,-23.58,149.07,55.1,88,0,5.61
gisborne,nz,-38.66,178.02,42.77,80,20,4.61
esperance,au,10.24,-61.45,87.8,70,40,12.75
arona,es,45.76,8.56,69.8,46,0,3.36
puerto ayora,ec,-0.74,-90.35,77.0,65,40,9.17
nizhniy kuranakh,ru,58.84,125.49,39.17,94,92,2.04
bratsk,ru,56.15,101.63,30.2,74,8,8.95
yara,cu,20.27,-76.95,87.14,86,8,4.72
havoysund,no,71.0,24.66,38.43,100,75,16.11
gazanjyk,tm,39.24,55.52,68.24,54,8,3.94
brae,gb,60.4,-1.35,47.28,81,75,9.17
busselton,au,-33.64,115.35,60.05,100,92,25.19
cockburn town,tc,21.46,-71.14,82.19,100,76,9.98
jvari,ge,42.72,42.05,69.8,88,0,9.17
yellowknife,ca,62.45,-114.38,23.0,67,75,6.93
meulaboh,id,4.14,96.13,76.43,100,92,1.14
ushuaia,ar,-54.81,-68.31,39.2,81,40,29.97
albany,au,42.65,-73.75,60.96,74,90,6.93
longyearbyen,sj,78.22,15.63,32.0,100,40,6.93
port hardy,ca,50.7,-127.42,42.8,75,90,4.94
ferkessedougou,ci,9.6,-5.2,82.55,85,0,3.15
chuy,uy,-33.69,-53.46,63.83,97,48,8.08
tabuk,sa,17.41,121.44,59.78,91,8,2.15
nikolskoye,ru,59.7,30.79,48.2,76,75,4.47
shingu,jp,33.72,135.99,72.74,100,100,10.65
teya,ru,21.05,-89.07,87.8,66,75,14.99
traverse city,us,44.76,-85.62,65.03,78,75,10.29
inhambane,mz,-23.87,35.38,75.2,78,75,12.75
murray bridge,au,-35.12,139.28,51.95,94,0,17.25
namatanai,pg,-3.66,152.44,82.1,100,24,5.73
seoul,kr,37.57,126.98,54.19,72,0,3.36
butaritari,ki,3.07,172.79,84.62,100,36,5.5
puerto carreno,co,6.19,-67.49,93.2,56,20,2.82
namibe,ao,-15.19,12.15,68.15,97,0,6.73
polson,us,47.69,-114.16,42.05,61,0,2.26
tadine,nc,-21.55,167.88,70.58,100,36,17.36
nadym,ru,65.53,72.51,42.95,95,92,11.77
hithadhoo,mv,-0.6,73.08,82.91,100,80,24.29
dayong,cn,11.74,122.04,82.55,100,36,6.85
chingirlau,kz,51.09,54.08,53.93,57,24,11.43
husavik,is,50.56,-96.99,38.0,100,92,16.02
sisimiut,gl,66.94,-53.67,30.53,94,88,4.5
vanimo,pg,-2.67,141.3,85.16,99,24,3.49
port elizabeth,za,39.31,-74.98,77.27,58,40,10.29
brownsville,us,25.91,-97.49,86.49,72,20,9.17
lagos,ng,6.46,3.39,84.2,79,75,9.17
mnogovershinnyy,ru,53.94,139.92,41.96,62,0,6.29
kayankulam,in,9.18,76.5,77.15,100,88,2.71
bredasdorp,za,-34.53,20.04,64.4,59,0,13.87
quatre cocos,mu,-20.21,57.76,71.6,56,20,6.93
ust-tsilma,ru,65.44,52.15,44.21,89,92,6.4
bethel,us,60.79,-161.76,48.92,79,90,13.87
kenai,us,60.55,-151.26,45.48,73,90,5.82
salalah,om,17.01,54.1,80.6,78,0,3.36
longkou,cn,37.64,120.47,60.68,100,0,6.73
yantal,ru,56.85,105.25,30.53,76,8,4.05
krasnoarmeysk,ua,56.12,38.15,48.2,100,75,4.47
rikitea,pf,-23.12,-134.97,67.16,100,12,20.04
rumoi,jp,43.93,141.67,54.2,71,0,9.42
evensk,ru,61.92,159.24,42.77,100,48,13.22
amalfi,co,6.91,-75.07,78.32,87,44,2.59
barrow,us,-38.31,-60.23,63.47,35,0,13.44
vila franca do campo,pt,37.72,-25.43,71.6,73,20,10.29
dickinson,us,46.88,-102.79,39.02,92,90,24.16
neryungri,ru,56.66,124.71,30.53,71,8,6.06
hasaki,jp,35.73,140.83,65.25,93,75,6.93
atasu,kz,48.68,71.64,42.14,48,0,9.64
vaini,to,15.34,74.49,70.94,94,36,1.7
impfondo,cg,1.62,18.06,77.51,84,8,2.71
sharjah,ae,25.36,55.39,88.29,66,0,8.05
hecelchakan,mx,20.17,-90.13,84.2,83,40,16.11
jacmel,ht,18.24,-72.54,87.8,62,40,13.87
nanortalik,gl,60.14,-45.24,37.1,96,0,21.83
mae ramat,th,16.98,98.52,70.31,98,32,2.04
qasigiannguit,gl,68.82,-51.19,28.4,46,20,5.82
amla,in,21.92,78.13,71.03,84,0,2.71
hambantota,lk,6.12,81.12,78.5,100,88,6.4
shevchenkove,ua,49.7,37.18,51.8,76,0,11.18
sembakung,id,3.82,117.25,74.45,97,20,2.15
ilheus,br,-14.79,-39.05,82.4,69,40,9.17
altay,cn,47.83,88.13,18.92,67,8,2.37
tiksi,ru,71.64,128.87,17.21,100,56,3.04
carnarvon,au,-30.97,22.13,51.77,29,0,14.12
komsomolskiy,ru,67.55,63.78,38.27,97,92,11.99
omsukchan,ru,62.53,155.8,26.12,89,92,4.72
leshukonskoye,ru,64.9,45.76,41.6,88,76,5.5
airai,pw,-8.93,125.41,61.67,86,0,1.7
leh,in,34.16,77.58,6.77,80,20,1.36
gat,ly,14.69,-16.54,96.8,53,20,2.24
maningrida,au,-12.05,134.23,75.8,85,0,8.41
pevek,ru,69.7,170.27,39.8,100,88,7.29
castro,cl,-42.48,-73.76,50.06,81,76,5.95
marrakesh,ma,31.63,-7.99,91.4,22,20,6.93
constitucion,mx,23.99,-104.67,64.4,63,5,3.36
lazaro cardenas,mx,28.39,-105.62,77.0,50,40,5.82
aswan,eg,24.09,32.9,104.0,10,0,8.05
baculin,ph,7.45,126.58,76.97,93,20,7.74
dikson,ru,73.51,80.55,38.72,100,92,23.62
severo-kurilsk,ru,50.68,156.12,48.08,99,64,11.32
zhanaozen,kz,43.35,52.85,71.57,58,76,7.74
hammerfest,no,70.66,23.68,37.4,100,75,16.11
sayyan,ye,15.17,44.32,59.06,29,0,5.84
san isidro,ph,16.74,121.63,69.59,89,8,1.92
yulara,au,-25.24,130.99,66.2,55,0,10.29
rumphi,mw,-11.02,33.86,65.9,66,20,5.61
weligama,lk,5.97,80.42,78.5,99,88,7.07
sioux lookout,ca,50.1,-91.92,48.2,93,90,5.82
yerbogachen,ru,61.28,108.01,35.57,61,36,8.19
male,mv,50.74,33.7,47.9,87,68,13.11
te anau,nz,-45.41,167.72,45.74,79,36,16.69
clyde river,ca,70.47,-68.59,30.2,86,90,18.34
jurm,af,36.86,70.83,34.67,92,48,1.81
merritt island,us,28.54,-80.67,86.5,62,20,11.41
stryn,no,61.9,6.72,42.8,93,75,3.36
geraldton,ca,49.72,-86.95,48.2,100,90,13.87
anadyr,ru,64.73,177.51,46.4,81,40,22.37
funtua,ng,11.52,7.31,76.25,90,12,2.71
buraydah,sa,26.33,43.97,91.4,18,0,3.36
luanda,ao,-8.83,13.24,77.0,78,20,9.17
tasiilaq,gl,65.61,-37.64,33.8,50,75,2.24
paka,my,45.29,18.06,59.0,51,0,4.7
lebu,cl,8.96,38.73,55.64,60,0,7.07
dinguiraye,gn,11.29,-10.71,84.71,64,8,6.29
beringovskiy,ru,63.05,179.32,46.55,97,92,18.92
sorong,id,-0.86,131.25,80.12,100,64,5.5
hobart,au,-42.88,147.33,37.4,86,20,4.7
thompson,ca,55.74,-97.86,33.8,69,75,9.17
san carlos de bariloche,ar,-41.13,-71.31,48.2,45,0,24.16
rawson,ar,-43.3,-65.11,62.12,32,76,17.69
dubai,ae,25.27,55.3,89.6,66,0,8.05
roald,no,62.58,6.12,43.88,70,75,9.17
tuatapere,nz,-46.13,167.69,52.67,85,36,23.73
outjo,na,-20.11,16.16,91.4,9,0,6.93
punta arenas,cl,-53.16,-70.91,48.2,66,75,26.4
bathsheba,bb,13.22,-59.52,86.0,70,20,13.87
kodiak,us,39.95,-94.76,84.02,62,1,19.46
kochi,in,9.96,76.25,77.0,94,90,4.72
bushehr,ir,28.97,50.84,89.6,59,0,4.7
outlook,ca,51.48,-107.04,37.01,58,0,14.56
tirumullaivasal,in,11.24,79.84,82.82,89,80,5.5
maniitsoq,gl,65.42,-52.9,32.6,100,80,8.63
narsaq,gl,60.91,-46.05,41.0,32,75,2.24
vardo,no,39.62,-77.74,78.69,54,75,8.05
golub-dobrzyn,pl,53.11,19.05,49.79,66,88,16.46
north platte,us,41.12,-100.77,73.94,53,1,8.05
pyinmana,mm,19.74,96.21,73.64,98,20,2.26
that phanom,th,16.94,104.73,74.72,71,8,7.63
mandalgovi,mn,45.76,106.27,42.05,52,0,12.55
rio grande,br,-32.03,-52.1,66.2,55,20,13.87
osypenko,ua,48.04,34.39,50.0,81,0,4.47
san angelo,us,31.46,-100.44,78.98,66,40,13.87
luang prabang,la,19.89,102.14,67.61,85,44,0.02
kahului,us,20.89,-156.47,70.0,87,20,4.7
yauya,pe,-8.99,-77.29,64.1,32,20,2.71
khatanga,ru,71.98,102.47,30.17,92,88,12.77
hilo,us,19.71,-155.08,57.29,65,75,5.82
east london,za,-33.02,27.91,60.8,59,20,8.05
port alfred,za,-33.59,26.89,62.39,88,92,7.74
east wenatchee bench,us,47.43,-120.28,42.42,12,1,2.37
pangnirtung,ca,66.15,-65.72,28.4,58,90,3.36
mildura,au,-34.18,142.16,57.89,70,56,19.04
san rafael,ar,-34.61,-68.33,63.38,17,0,6.73
siverek,tr,37.75,39.32,75.2,23,20,4.7
nago,jp,45.88,10.89,66.2,59,20,2.24
mujiayingzi,cn,42.12,118.78,37.01,78,0,3.94
sheridan,us,39.65,-105.03,76.98,23,1,11.41
garissa,ke,-0.46,39.64,79.13,62,0,11.77
kampot,kh,10.62,104.18,73.46,97,68,2.26
fiche,et,9.77,38.74,58.97,51,8,8.41
pervomayskoye,ru,57.07,86.23,35.12,90,0,7.52
vysokogornyy,ru,50.1,139.13,35.39,74,0,4.94
pathardi,in,19.17,75.17,69.41,89,44,3.94
cascais,pt,38.7,-9.42,82.83,16,0,8.05
georgetown,sh,6.8,-58.16,93.2,56,75,9.17
banikoara,bj,11.3,2.44,86.24,62,36,3.49
fairbanks,us,64.84,-147.72,31.43,72,0,3.6
kushiro,jp,43.11,144.15,40.7,80,0,3.15
abu zabad,sd,12.35,29.25,76.97,68,12,4.16
gornja koprivna,ba,45.01,15.95,49.25,90,0,2.15
kumluca,tr,36.37,30.29,54.92,76,8,1.14
holme,no,53.7,-2.31,58.1,72,90,5.82
saskylakh,ru,71.97,114.09,26.48,89,80,8.52
wilmington,us,39.75,-75.55,74.5,58,40,10.29
tura,ru,25.52,90.21,76.7,83,88,3.38
bocicoiu mare,ro,47.96,24.01,50.0,81,92,6.93
adre,td,13.47,22.2,79.85,53,12,8.52
bikaner,in,28.02,73.32,78.77,42,8,8.52
ciudad bolivar,ve,8.12,-63.55,94.43,57,0,7.74
joensuu,fi,62.6,29.76,37.4,100,40,4.7
flinders,au,-34.58,150.85,57.2,100,75,11.41
huilong,cn,28.89,110.18,56.45,72,48,2.15
carballo,es,43.21,-8.69,80.67,44,0,4.7
isangel,vu,-19.55,169.27,72.38,100,0,13.78
luderitz,na,-26.65,15.16,70.13,57,0,8.97
palu,id,-0.9,119.87,66.08,96,80,1.36
half moon bay,us,37.46,-122.43,67.28,75,75,3.94
xuddur,so,4.12,43.89,82.91,42,76,8.97
terrace bay,ca,48.78,-87.1,51.8,100,90,13.87
shimoda,jp,34.7,138.93,66.2,88,75,3.36
petropavlovka,ru,50.61,105.32,37.64,74,92,10.98
moyobamba,pe,-6.03,-76.97,84.53,65,20,2.59
blackwater,au,51.33,-0.78,64.69,63,20,6.93
damaturu,ng,11.75,11.96,83.27,59,0,3.94
kruisfontein,za,-34.0,24.73,57.53,89,8,4.38
oros,br,47.95,21.8,55.4,62,0,12.75
nioro,ml,13.79,-15.05,90.2,73,0,4.38
vaihingen,de,48.73,9.11,55.4,76,40,6.93
dzepciste,mk,42.03,21.0,63.39,52,0,8.05
college,us,64.86,-147.8,31.43,72,0,3.6
karratha,au,-20.74,116.85,72.92,46,0,9.86
brunico,it,46.8,11.94,58.15,33,75,1.59
kununurra,au,-15.77,128.74,75.2,60,0,8.05
kondinskoye,ru,59.65,67.41,49.79,67,56,7.85
suileng,cn,47.25,127.08,41.87,72,0,7.18
kitimat,ca,54.02,-128.69,30.2,68,90,1.7
mersing,my,2.43,103.84,77.24,99,0,2.82
tommot,ru,58.97,126.27,38.72,93,92,2.04
kedrovyy,ru,56.17,91.82,39.2,93,40,6.71
saint-philippe,re,45.36,-73.48,52.03,87,90,5.82
innisfail,au,52.02,-113.95,24.8,85,20,10.29
cherskiy,ru,68.75,161.3,32.87,97,92,6.17
colares,pt,38.8,-9.45,82.81,16,0,8.05
kudahuvadhoo,mv,2.67,72.89,81.38,100,80,21.39
sept-iles,ca,50.2,-66.38,42.8,100,90,9.17
katsuura,jp,33.93,134.5,65.72,94,92,6.96
santa rosa,ar,-36.62,-64.29,65.72,32,0,13.0
lahij,ye,13.06,44.88,69.77,87,0,2.71
berlevag,no,70.86,29.09,34.75,80,40,21.92
kirkwall,gb,58.98,-2.96,49.23,100,75,12.75
ponta do sol,pt,-20.63,-46.0,89.39,39,8,7.74
puerto penasco,mx,31.32,-113.53,82.01,100,0,13.78
laguna,br,27.52,-110.01,82.4,69,5,2.59
yanggu,cn,25.39,116.32,57.08,72,0,2.15
udachnyy,ru,66.42,112.4,31.43,91,92,5.73
kavieng,pg,-2.57,150.8,83.36,100,0,3.38
kavaratti,in,10.57,72.64,83.81,100,24,7.18
jamestown,sh,-33.21,138.6,48.35,95,88,11.21
new norfolk,au,-42.78,147.06,37.4,86,20,4.7
malchevskaya,ru,49.06,40.36,57.26,74,0,16.13
luoyang,cn,34.66,112.42,48.53,63,0,2.71
amazar,ru,53.86,120.88,34.85,83,0,2.48
port-gentil,ga,-0.72,8.78,80.6,78,20,11.41
omboue,ga,-1.57,9.26,78.23,100,20,6.96
eganville,ca,45.54,-77.1,55.4,76,90,4.7
suslovo,ru,56.22,88.12,34.85,90,0,4.38
yagodnoye,ru,62.52,149.63,14.78,84,56,2.59
owando,cg,-0.49,15.91,77.33,83,8,1.48
durban,za,43.54,0.58,69.78,52,0,8.05
saint george,bm,39.45,22.34,68.0,88,40,2.37
surt,ly,31.21,16.59,78.77,87,0,12.88
bud,no,62.91,6.91,43.43,93,75,3.36
bowen,au,-20.01,148.25,57.2,87,40,3.36
ambulu,id,-8.35,113.61,72.92,100,0,6.4
taltal,cl,-25.41,-70.49,67.43,72,56,2.93
lasa,cn,34.92,32.53,76.37,64,0,11.41
mortka,ru,59.33,66.02,49.88,65,56,6.4
hofn,is,64.25,-15.21,42.8,75,90,14.99
guerrero negro,mx,27.97,-114.04,73.37,100,0,5.39
maasim,ph,5.86,125.0,69.32,100,20,0.25
ha noi,vn,21.02,105.84,78.8,69,48,2.24
beterou,bj,9.2,2.26,79.13,86,8,2.93
mahebourg,mu,-20.41,57.7,71.6,56,20,6.93
souillac,mu,45.6,-0.6,67.01,49,0,11.41
chokurdakh,ru,70.62,147.9,29.9,95,80,12.66
ahipara,nz,-35.17,173.16,52.67,100,76,5.61
lorengau,pg,-2.02,147.27,82.82,100,12,2.93
wuwei,cn,37.93,102.64,41.42,71,68,6.4
klaksvik,fo,62.23,-6.59,42.8,93,92,20.8
nigde,tr,37.97,34.68,46.64,81,0,1.7
xinyu,cn,27.8,114.93,58.7,76,0,5.61
rio tuba,ph,8.51,117.43,83.72,94,76,1.7
patitirion,gr,39.15,23.87,70.79,77,20,6.96
cabo san lucas,mx,22.89,-109.91,84.2,70,5,2.71
jinka,et,5.79,36.57,62.03,84,0,1.81
nikki,bj,9.94,3.21,81.2,74,44,4.83
kamaishi,jp,39.28,141.86,50.15,85,0,3.71
necochea,ar,-38.55,-58.74,61.67,58,0,13.78
ternate,id,14.29,120.72,80.6,100,75,6.93
vallenar,cl,-28.58,-70.76,74.9,55,56,2.93
tuktoyaktuk,ca,69.44,-133.03,19.4,92,75,13.87
katra,in,32.99,74.93,61.94,74,68,2.48
menomonie,us,44.88,-91.92,67.77,99,90,11.41
kangaatsiaq,gl,68.31,-53.46,30.08,100,80,7.4
muros,es,42.77,-9.06,82.4,28,20,4.7
satka,ru,55.04,59.03,43.4,60,12,6.06
aklavik,ca,68.22,-135.01,19.4,92,90,5.82
southampton,ca,50.9,-1.4,65.91,63,20,5.82
hamilton,bm,32.3,-64.78,80.6,74,40,16.11
fortuna,us,38.18,-1.13,78.3,44,0,8.05
westport,nz,53.8,-9.52,55.4,93,75,6.93
do gonbadan,ir,30.36,50.8,87.8,31,0,1.92
myre,no,62.25,17.37,39.2,86,0,5.82
broome,au,52.47,1.45,61.92,67,75,9.17
maralal,ke,1.1,36.7,58.61,93,8,3.38
sabha,jo,27.03,14.43,83.18,38,92,9.86
jalu,ly,29.03,21.55,88.13,19,92,5.95
shenjiamen,cn,29.96,122.3,72.92,88,0,20.71
itoman,jp,26.12,127.67,75.33,88,75,18.34
sorland,no,67.67,12.69,40.82,70,75,19.46
marawi,sd,8.0,124.29,63.47,99,24,1.7
kenora,ca,49.76,-94.48,48.2,93,90,3.71
lindi,tz,-10.0,39.71,75.2,83,20,9.17
baoqing,cn,46.32,132.2,38.0,79,0,2.48
barbastro,es,42.04,0.13,77.0,29,0,8.05
alta floresta,br,-9.87,-56.08,91.1,59,12,2.37
noumea,nc,-22.28,166.46,64.4,93,75,1.12
naze,jp,5.43,7.07,86.0,74,75,16.11
lompoc,us,34.64,-120.46,63.93,93,90,3.36
victoria,sc,5.28,115.24,79.72,94,75,5.39
vodnyy,ru,63.51,53.41,44.12,92,88,6.4
koungheul,sn,13.98,-14.8,90.2,73,0,4.38
avarua,ck,-21.21,-159.78,69.8,60,75,10.29
rojhan,pk,28.69,69.95,73.55,59,0,3.49
arlit,ne,18.74,7.39,92.45,23,88,2.82
yatou,cn,3.63,9.81,84.2,79,40,6.93
labuhan,id,-2.54,115.51,69.23,95,32,1.81
rassvet,ru,47.2,28.43,55.4,54,20,6.93
krutikha,ru,53.96,81.21,34.4,80,0,6.29
moose factory,ca,51.26,-80.61,51.8,71,75,9.17
aykhal,ru,65.95,111.51,30.35,91,92,9.64
aquiraz,br,-3.9,-38.39,86.0,58,40,16.11
ilulissat,gl,69.22,-51.1,28.4,46,20,5.82
norman wells,ca,65.28,-126.83,23.0,92,75,2.24
arsk,ru,56.09,49.88,50.0,93,90,6.71
tatsuno,jp,34.87,134.51,62.75,83,76,8.19
chernyshevskiy,ru,63.01,112.47,37.1,74,88,8.75
khandyga,ru,62.65,135.58,33.14,97,92,4.94
merauke,id,-8.49,140.4,76.61,91,8,14.23
qujing,cn,25.49,103.8,52.22,99,92,3.83
sabang,id,13.72,123.58,76.07,98,20,3.6
yumen,cn,40.29,97.04,49.7,37,8,11.1
petropavlovsk-kamchatskiy,ru,53.05,158.65,37.4,100,92,2.24
padang,id,-0.92,100.36,81.47,100,48,3.71
sijunjung,id,-0.69,100.95,68.87,97,88,1.7
lumeje,ao,-11.56,20.78,78.23,40,56,2.82
okhotsk,ru,59.36,143.24,31.79,100,20,6.85
qandala,so,11.47,49.87,70.49,100,8,1.7
zhezkazgan,kz,47.8,67.71,45.83,48,0,7.63
kungurtug,ru,50.6,97.53,22.7,75,80,11.1
mokhsogollokh,ru,61.4,128.95,36.65,84,76,4.72
sinop,tr,42.03,35.15,69.77,100,20,2.48
bilma,ne,18.69,12.92,91.73,18,76,4.16
srednekolymsk,ru,67.46,153.71,29.45,85,80,2.93
provideniya,ru,64.42,-173.23,46.1,99,92,32.91
coquimbo,cl,-29.95,-71.34,64.4,63,0,14.99
buseresere,tz,-3.01,31.92,71.66,69,8,3.6
qingyuan,cn,27.62,119.06,50.87,85,0,1.81
cape canaveral,us,28.41,-80.6,87.71,59,40,10.29
vologda,ru,59.22,39.89,47.45,95,76,11.43
arraial do cabo,br,-22.97,-42.02,89.6,59,0,14.99
lengshuitan,cn,26.41,111.6,57.08,68,0,3.6
praia da vitoria,pt,38.73,-27.07,75.2,78,40,5.17
carutapera,br,-1.2,-46.02,86.69,67,20,14.0
sibolga,id,1.74,98.78,70.22,100,92,1.14
vostok,ru,46.45,135.83,33.86,76,0,1.92
yaan,cn,7.38,8.57,75.35,99,24,3.6
sangar,ru,63.92,127.47,33.05,92,92,2.82
kamsack,ca,51.56,-101.9,32.0,88,90,6.93
toktogul,kg,41.87,72.95,43.4,42,0,3.27
sao joao da barra,br,-21.64,-41.05,87.8,52,20,18.34
yeppoon,au,-23.13,150.74,59.0,87,0,3.94
aksarka,ru,66.56,67.8,40.88,95,88,13.0
viljoenskroon,za,-27.21,26.95,61.13,14,0,13.0
coahuayana,mx,18.62,-100.35,78.23,76,0,3.04
kaseda,jp,31.42,130.32,66.2,88,90,12.75
gravdal,no,59.79,5.78,49.06,57,75,10.29
lagoa,pt,37.14,-8.45,78.8,61,0,5.82
takoradi,gh,4.89,-1.75,78.5,93,12,7.18
kovylkino,ru,54.04,43.91,53.21,93,92,10.42
manaia,nz,-39.55,174.12,51.59,100,88,8.97
atuona,pf,-9.8,-139.03,79.22,100,0,12.77
price,us,39.6,-110.81,60.08,92,75,6.93
ixtapa,mx,20.71,-105.21,86.0,74,5,1.59
ureshino,jp,33.13,130.06,63.61,88,0,5.82
iqaluit,ca,63.75,-68.52,35.6,80,75,14.99
dunhua,cn,43.37,128.23,38.81,81,0,2.71
dunedin,nz,-45.87,170.5,44.03,72,100,11.65
kilimatinde,tz,-5.75,34.82,72.83,57,12,7.63
tautira,pf,-17.73,-149.15,73.4,78,40,3.36
marzuq,ly,14.4,46.47,65.09,29,0,4.16
mokrousovo,ru,55.81,66.77,46.37,59,0,12.44
saint anthony,ca,43.97,-111.68,59.31,49,1,18.34
hobyo,so,5.35,48.53,77.06,89,0,13.44
dingle,ie,11.0,122.67,75.62,94,64,3.6
lingao,cn,19.91,109.69,72.65,98,0,5.17
henties bay,na,-22.12,14.28,64.82,76,0,2.26
sitka,us,37.17,-99.65,90.29,42,8,21.61
athabasca,ca,54.72,-113.29,34.58,63,32,7.52
sasaram,in,24.95,84.01,75.17,77,0,2.82
mandera,ke,3.94,41.86,87.14,36,48,7.85
tessalit,ml,20.2,1.01,86.69,20,0,5.95
verkhnyaya toyma,ru,62.24,45.0,45.65,95,92,7.18
clarence town,bs,-32.59,151.78,62.6,93,90,6.93
margate,za,-43.03,147.26,37.4,86,20,4.7
aksarayskiy,ru,46.79,48.01,66.2,68,0,2.24
kuytun,cn,54.34,101.51,34.22,68,44,6.4
shimonoseki,jp,33.97,130.94,65.16,77,20,5.82
ambovombe,mg,-25.18,46.09,69.68,92,0,4.72
kutum,sd,14.2,24.66,86.42,22,88,8.63
tanabe,jp,33.73,135.39,66.35,89,100,3.71
troitskoye,ru,52.98,84.68,36.38,98,48,2.93
walvis bay,na,-22.95,14.51,68.0,52,0,5.82
kodar,in,16.98,79.97,76.88,86,0,3.38
leningradskiy,ru,69.38,178.42,39.71,90,80,12.21
oksfjord,no,70.24,22.35,38.39,100,75,16.11
kamenka,ru,53.19,44.05,54.02,91,24,11.43
ugoofaaru,mv,5.67,73.0,78.77,100,100,21.05
mogadishu,so,2.04,45.34,79.58,96,0,13.0
camara de lobos,pt,32.63,-16.97,75.2,64,20,11.41
kontagora,ng,10.4,5.47,83.72,72,0,3.6
tymovskoye,ru,50.85,142.66,39.8,74,0,5.73
nemuro,jp,43.32,145.57,58.07,100,0,15.35
mayo,ca,63.59,-135.9,15.8,85,40,3.94
ko samui,th,9.54,99.94,83.0,100,0,4.16
kalmunai,lk,7.42,81.82,76.52,100,76,3.27
trairi,br,-3.28,-39.27,79.31,100,8,18.81
